"amount","time","encodedCategory","daysSinceLastTransport","daysSinceLastGrocery","totalUberSpend","totalGrocerySpend","overspendRisk","transactionTypeUber","transactionTypeGrocery","transactionTypeRestaurant","spendingShift"
-0.34,1714648634000,0,,,0,0,0,0,0,0,0
-3.31,1714648639000,0,1,,0,0,0,0,0,0,0
-3.29,1714648644000,0,1,,0,0,0,0,0,0,0
-32.41,1714660174000,1,1,,0,0,0,0,0,0,0
-175.75,1714711120000,2,1,,0,0,0,0,0,0,0
-1.98,1714737086000,0,2,,0,0,0,0,0,0,0
-1.96,1714737092000,0,1,,0,0,0,0,0,0,0
-3.31,1714821247000,0,1,,0,0,0,0,0,0,0
-0.67,1714821256000,0,1,,0,0,0,0,0,0,0
-3.26,1714821258000,0,1,,0,0,0,0,0,0,0
-7.95,1714873605000,3,1,,0,0,0,0,0,0,0
-2.99,1714883620000,4,1,,0,0,0,0,0,0,0
-0.69,1714925527000,5,2,,0,0,0,0,0,0,0
-9.98,1714925531000,5,2,,0,0,0,0,0,0,0
-20.63,1714959858000,3,2,,0,0,0,0,0,0,0
-24.79,1714971048000,6,2,,0,0,0,0,1,0,0
-2.5,1714971053000,5,2,1,0,24.79,0,0,0,0,0
-3.31,1714998344000,0,3,1,0,24.79,0,0,0,0,0
-3.1,1714998353000,0,1,1,0,24.79,0,0,0,0,0
-3.1,1714998362000,0,1,1,0,24.79,0,0,0,0,0
-6,1714998364000,0,1,1,0,24.79,0,0,0,0,0
-3.37,1715083772000,0,1,2,0,24.79,0,0,0,0,0
-3.85,1715083778000,0,1,2,0,24.79,0,0,0,0,0
-3.99,1715128418000,4,1,2,0,24.79,0,0,0,0,0
-11.95,1715219228000,7,2,3,0,24.79,0,0,0,1,0
-32.41,1715227702000,1,2,3,0,24.79,0,0,0,0,0
-8,1715341633000,7,3,5,0,24.79,0,0,0,1,0
-3.37,1715430236000,0,5,6,0,24.79,0,0,0,0,0
-3.26,1715430248000,0,1,6,0,24.79,0,0,0,0,0
-10.39,1715431116000,8,1,6,0,24.79,0,0,0,0,0
-10,1715436678000,6,1,6,0,24.79,0,0,1,0,0
-466.67,1715544359000,9,2,2,0,34.79,0,0,0,0,0
-3,1715651585000,3,3,3,0,34.79,0,0,0,0,0
-10.68,1715658506000,6,3,3,0,34.79,0,0,1,0,0
-1.33,1715686841000,0,3,1,0,45.47,0,0,0,0,0
-2.31,1715686844000,0,1,1,0,45.47,0,0,0,0,0
-1.25,1715738140000,8,1,1,0,45.47,0,0,0,0,0
-32.41,1715783474000,1,2,2,0,45.47,0,0,0,0,0
-1.75,1715858993000,0,2,3,0,45.47,0,0,0,0,0
-5,1716007466000,5,2,5,0,45.47,0,0,0,0,0
-15.99,1716007469000,5,2,5,0,45.47,0,0,0,0,0
-92.92,1716030473000,10,2,5,0,45.47,0,0,0,0,0
-131.96,1716032036000,5,3,5,0,45.47,0,0,0,0,0
-9.99,1716047018000,4,3,5,0,45.47,0,0,0,0,0
-8,1716082816000,7,3,5,0,45.47,0,0,0,1,0
-1041.75,1716090842000,11,3,6,0,45.47,0,0,0,0,0
-127.05,1716118474000,7,4,6,0,45.47,0,0,0,1,0
-27.75,1716207152000,7,5,7,0,45.47,0,0,0,1,0
-9.01,1716340672000,0,6,8,0,45.47,0,0,0,0,0
-58.19,1716352434000,7,1,9,0,45.47,0,0,0,1,0
-11,1716353148000,7,1,9,0,45.47,0,0,0,1,0
-6.7,1716375093000,3,1,9,0,45.47,0,0,0,0,0
-48.37,1716375515000,7,1,9,0,45.47,0,0,0,1,0
-1.75,1716376022000,0,1,9,0,45.47,0,0,0,0,0
-7.85,1716387843000,0,1,9,0,45.47,0,0,0,0,0
-1.94,1716387847000,0,1,9,0,45.47,0,0,0,0,0
-65.05,1716388581000,6,1,9,0,45.47,0,0,1,0,0
-2.36,1716461900000,0,1,1,0,110.52,0,0,0,0,0
-15.26,1716547623000,4,1,2,0,110.52,0,0,0,0,0
-9.99,1716601615000,5,2,3,0,110.52,0,0,0,0,0
-24.35,1716601629000,5,2,3,0,110.52,0,0,0,0,0
-83.94,1716601634000,5,2,3,0,110.52,0,0,0,0,0
-9.5,1716609529000,5,2,3,0,110.52,0,0,0,0,0
-38,1716772480000,7,4,5,0,110.52,0,0,0,1,0
-2.2,1716772518000,7,4,5,0,110.52,0,0,0,1,0
-1.4,1716772522000,7,4,5,0,110.52,0,0,0,1,0
-37.5,1716806665000,4,4,5,0,110.52,0,0,0,0,0
-3.39,1716808428000,0,5,5,0,110.52,0,0,0,0,0
-3.37,1716808429000,0,1,5,0,110.52,0,0,0,0,0
-0.46,1716808436000,0,1,5,0,110.52,0,0,0,0,0
-1.86,1716808437000,0,1,5,0,110.52,0,0,0,0,0
-4,1716808439000,0,1,5,0,110.52,0,0,0,0,0
-0.77,1716808444000,0,1,5,0,110.52,0,0,0,0,0
-18,1716821822000,11,1,6,0,110.52,0,0,0,0,0
-5.49,1716860032000,4,1,6,0,110.52,0,0,0,0,0
-22.95,1716861251000,5,1,6,0,110.52,0,0,0,0,0
-7.9,1716984361000,0,3,7,0,110.52,0,0,0,0,0
-1.25,1716995939000,8,1,8,0,110.52,0,0,0,0,0
-94.68,1717157036000,10,2,9,0,110.52,0,0,0,0,0
-20,1717384640000,7,5,12,0,110.52,0,0,0,1,0
-10,1717384640000,7,5,12,0,110.52,0,0,0,1,0
-12.5,1717430675000,5,6,13,0,110.52,0,0,0,0,0
-5.18,1717434967000,6,6,13,0,110.52,0,0,1,0,0
-2.99,1717563335000,4,7,2,0,90.91,0,0,0,0,0
-56.47,1717590468000,5,8,2,0,90.91,0,0,0,0,0
-11.95,1717638544000,7,8,3,0,90.91,0,0,0,1,0
-12.42,1717736621000,6,9,4,0,90.91,0,0,1,0,0
-74.07,1717764824000,5,10,1,0,103.33,0,0,0,0,0
